iter	MAE	RMSE
515	0.2341738796	0.3193649584
516	0.2338357498	0.3187252198
517	0.2335508974	0.3183578223
518	0.2333989301	0.3180092642
519	0.2332422395	0.3176671223
520	0.2328788845	0.3170328839
521	0.2327249942	0.3166989404
522	0.2325210505	0.3163055823
523	0.2322910635	0.3158827124
524	0.2319791941	0.3154916341
525	0.2316908764	0.3152471591
526	0.2313467158	0.3146612915
527	0.2311661569	0.3143759315
528	0.2307547314	0.313815105
529	0.230497838	0.3133114711
530	0.2303542134	0.3129859415
531	0.2300614346	0.3124169751
532	0.2296670313	0.3119426972
533	0.2295284407	0.3116244637
534	0.2294021023	0.3113183669
535	0.2292775229	0.3110195015
536	0.2291552624	0.310727662
537	0.229035603	0.3104426501
538	0.2287064667	0.3097957295
539	0.2285668521	0.3094961385
540	0.2283811316	0.3091956523
541	0.2282499446	0.3089080971
542	0.2279710465	0.3085278396
543	0.2277023475	0.3081812187
544	0.2273526245	0.3077814805
545	0.2269982809	0.3071743563
546	0.2268352759	0.3068768226
547	0.2265731708	0.3065759805
548	0.2261823119	0.3058980228
549	0.225905226	0.3054792039
550	0.22562755	0.304961426
551	0.225333914	0.304459972
552	0.2252080917	0.3041965326
553	0.2249765115	0.3039008558
554	0.2247036426	0.3033996343
555	0.2244897564	0.3030176857
556	0.2241734801	0.3025263019
557	0.2238356177	0.3021070816
558	0.223607956	0.3018256701
559	0.2234392729	0.3015013773
560	0.2233310763	0.3012458221
561	0.2230648479	0.3008907426
562	0.2227844293	0.3005463603
563	0.2225269201	0.3001119314
564	0.2221774379	0.2995166441
565	0.2219204207	0.2991674075
566	0.2217420735	0.2988467925
567	0.2215482545	0.2985165137
568	0.2212865475	0.2981045141
569	0.2210327765	0.2977236065
570	0.2206831796	0.2972282965
571	0.2203785401	0.2966877531
572	0.2201409109	0.2963963829
573	0.2199774883	0.2961215425
574	0.2196726781	0.2956243005
575	0.2192545396	0.295005596
576	0.2187750454	0.2943064237
577	0.2185174867	0.2939605297
578	0.2182443244	0.2935624038
579	0.2179821559	0.2931165992
580	0.2177110089	0.2926836236
581	0.2174195814	0.2922924927
582	0.2170299354	0.2917243199
583	0.2167642559	0.2912569474
584	0.2165048905	0.2908369061
585	0.2162505328	0.2904203822
586	0.2160056405	0.2899742229
587	0.2157486634	0.2895645712
588	0.2155856427	0.2892896081
589	0.2153381852	0.2889503237
590	0.2151372069	0.2886350354
591	0.2149785855	0.288336679
592	0.214643158	0.287860362
593	0.2145009757	0.2875839257
594	0.2143586866	0.2873811494
595	0.2140154038	0.286888181
596	0.2137576473	0.2864206748
597	0.2135505091	0.286079917
598	0.2132619054	0.2855861604
599	0.2130167959	0.2852173831
600	0.2127763739	0.2848591617
601	0.2125046367	0.2843689448
602	0.212234899	0.2839616711
603	0.2120730267	0.2836578773
604	0.2118045065	0.2833486384
605	0.2113844375	0.2827525773
606	0.2111802794	0.2823795318
607	0.2109514746	0.2820328019
608	0.2107789756	0.2818010807
609	0.2105659213	0.2814358325
610	0.2102211296	0.2809339762
611	0.2100058728	0.2806055705
612	0.209734611	0.2801782079
613	0.2095105517	0.2797905879
614	0.2092338401	0.2794312966
615	0.2090781133	0.2791706718
616	0.2088855521	0.2788587956
617	0.2085840609	0.2784138846
618	0.2083465973	0.2780978664
619	0.2080419797	0.2777188347
620	0.2078107607	0.2773386281
621	0.2076125692	0.277023914
622	0.207287406	0.276612319
623	0.2069843197	0.2763144203
624	0.2067516565	0.2758967899
625	0.2065565581	0.2756508847
626	0.2063058427	0.2752091242
627	0.2060654101	0.2748680038
628	0.2059507266	0.2746706407
629	0.2057381014	0.2744948408
630	0.2055864929	0.2742439044
631	0.2054463905	0.2739948362
632	0.2051321214	0.2734812887
633	0.2049515264	0.2731631445
634	0.2047126642	0.2727523076
635	0.2044484797	0.27232563
636	0.2042093524	0.2720168772
637	0.2038618934	0.2714737787
638	0.2036209886	0.27109512
639	0.2033766421	0.2706620084
640	0.2031207904	0.2702907794
641	0.2028725387	0.2698722873
642	0.2026221033	0.2695203676
